day,open,high,low,close,volumefrom,volumeto
2017-06-01,3.2500000000000004e-05,4.111e-05,3.169e-05,3.6e-05,8431876.49,315.11
2017-06-02,3.6e-05,3.709e-05,3.347e-05,3.705e-05,4756034.48,166.81
2017-06-03,3.705e-05,3.709e-05,3.353e-05,3.402e-05,5026048.14,174.46
2017-06-04,3.402e-05,3.402e-05,3.402e-05,3.402e-05,0.0,0.0
2017-06-05,3.411e-05,3.906e-05,3.386e-05,3.764e-05,4567901.83,166.33
2017-06-06,3.764e-05,4.017e-05,3.394e-05,3.626e-05,9890155.76,366.18
2017-06-07,3.626e-05,3.988e-05,3.5499999999999996e-05,3.654e-05,5976806.29,225.11
2017-06-08,3.654e-05,3.676e-05,3.52e-05,3.587e-05,3351923.29,120.63
2017-06-09,3.587e-05,3.833e-05,3.561e-05,3.739e-05,4604330.59,169.15
2017-06-10,3.739e-05,3.79e-05,3.4e-05,3.521e-05,5900301.74,212.99
2017-06-11,3.521e-05,3.8e-05,3.459e-05,3.69e-05,3819630.29,139.92
2017-06-12,3.69e-05,5.732e-05,3.555e-05,5.28e-05,19026468.68,853.1
2017-06-13,5.28e-05,7e-05,4.482e-05,6.187e-05,73245076.09,4353.21
2017-06-14,6.187e-05,6.6e-05,5.069e-05,5.444e-05,29601363.2,1713.98
2017-06-15,5.444e-05,5.85e-05,4.888e-05,5.103e-05,13239401.42,702.02
2017-06-16,5.103e-05,5.825e-05,5.0600000000000003e-05,5.629999999999999e-05,10788825.16,588.68
2017-06-17,5.629999999999999e-05,5.629999999999999e-05,5.103e-05,5.171e-05,5386583.34,286.71
2017-06-18,5.171e-05,5.215e-05,4.701e-05,4.771e-05,5234836.5,260.58
2017-06-19,4.771e-05,5.3e-05,4.7600000000000005e-05,5.159e-05,7018636.79,350.85
2017-06-20,5.159e-05,5.221e-05,4.779e-05,4.979e-05,7853495.51,390.05
2017-06-21,4.979e-05,5.258e-05,4.799e-05,4.85e-05,6260947.26,312.72
2017-06-22,4.85e-05,4.955e-05,4.77e-05,4.817e-05,3516583.08,169.98
2017-06-23,4.817e-05,5.325e-05,4.817e-05,5.2000000000000004e-05,9734586.09,498.17
2017-06-24,5.2000000000000004e-05,5.252e-05,4.901e-05,4.952e-05,3865290.24,197.09
2017-06-25,4.952e-05,5.074e-05,4.9e-05,4.913e-05,3454368.27,170.88
2017-06-26,4.913e-05,5.25e-05,4.092e-05,4.55e-05,8590608.35,405.68
2017-06-27,4.55e-05,4.865e-05,4.182e-05,4.592e-05,4911879.84,219.66
2017-06-28,4.592e-05,4.631e-05,4.268e-05,4.478e-05,5231380.4,231.97
2017-06-29,4.478e-05,4.494e-05,4.2e-05,4.269e-05,3616328.4,157.07
2017-06-30,4.269e-05,4.574e-05,3.805e-05,3.996e-05,5066801.15,212.92
2017-07-01,3.996e-05,4.168e-05,3.604e-05,3.702e-05,2459884.04,96.49
2017-07-02,3.702e-05,3.96e-05,3.603e-05,3.941e-05,1760156.66,65.82
2017-07-03,3.941e-05,3.993e-05,3.653e-05,3.922e-05,2213266.59,84.19
2017-07-04,3.922e-05,4.122e-05,3.817e-05,4.026e-05,3187952.37,127.05
2017-07-05,4.026e-05,4.056e-05,3.84e-05,3.929e-05,1999775.59,79.07
2017-07-06,3.929e-05,3.954e-05,3.598e-05,3.728e-05,2334237.72,87.66
2017-07-07,3.728e-05,4.766e-05,3.617e-05,4.325e-05,13139761.26,536.08
2017-07-08,4.325e-05,4.333e-05,3.622e-05,3.795e-05,6765911.15,259.73
2017-07-09,3.795e-05,4.041e-05,3.75e-05,3.842e-05,2231196.44,85.75
2017-07-10,3.842e-05,3.854e-05,3.137e-05,3.421e-05,4244516.04,148.77
2017-07-11,3.421e-05,3.756e-05,3.15e-05,3.472e-05,5276573.75,180.52
2017-07-12,3.472e-05,3.667e-05,3.402e-05,3.647e-05,1648907.69,58.36
2017-07-13,3.647e-05,3.739e-05,3.445e-05,3.588e-05,1978981.79,71.44
2017-07-14,3.588e-05,3.606e-05,3.15e-05,3.393e-05,2061741.45,69.19
2017-07-15,3.393e-05,3.472e-05,3.228e-05,3.471e-05,1402995.92,46.37
2017-07-16,3.471e-05,3.549e-05,3.243e-05,3.525e-05,1141274.91,39.12
2017-07-17,3.525e-05,3.558e-05,3.372e-05,3.5499999999999996e-05,1174157.52,41.25
2017-07-18,3.5499999999999996e-05,3.599e-05,3.294e-05,3.435e-05,1707756.22,58.77
2017-07-19,3.435e-05,4.245e-05,3.39e-05,3.626e-05,3523686.77,135.62
2017-07-20,3.626e-05,3.871e-05,3.499e-05,3.573e-05,2096891.72,77.31
2017-07-21,3.573e-05,3.638e-05,3.405e-05,3.635e-05,1204455.28,42.45
2017-07-22,3.635e-05,4.072e-05,3.598e-05,3.885e-05,3129914.46,120.82
2017-07-23,3.885e-05,4.45e-05,3.601e-05,4.34e-05,6553006.79,266.44
2017-07-24,4.34e-05,4.851e-05,3.8299999999999996e-05,4.767e-05,18276430.25,822.94
2017-07-25,4.767e-05,5.073e-05,3.7e-05,4.13e-05,65871123.01,3014.85
2017-07-26,4.13e-05,4.409e-05,3.934e-05,4.025e-05,5545257.82,227.43
2017-07-27,4.025e-05,4.065e-05,3.732e-05,3.746e-05,3961153.01,155.04
2017-07-28,3.746e-05,3.804e-05,3.313e-05,3.313e-05,2882097.43,103.89
2017-07-29,3.313e-05,3.397e-05,3.13e-05,3.273e-05,3396610.53,111.27
2017-07-30,3.273e-05,3.392e-05,3.132e-05,3.205e-05,2217462.64,71.79
2017-07-31,3.205e-05,3.208e-05,2.934e-05,3.064e-05,1160204.89,36.07
